,business_classification,business_impact,business_relevance,category_id,data_confidentiality,eoldriver,extensibility,geographical_scope,has_dependencies,id,io_intensity,latency_sensitivity,no_of_users,scalability,service_level,source_code_available,stage,type,user_facing,workload_variation,dependencies.Hardware.Dependent,dependencies.Operating.Environment.Dependent,dependencies.Operating.System.Dependent,IsPassPlatAvail,IsHarwareSupported,IsOSSupported,IsPlatformSupported,IsDatabaseSupported,pivot.disposition_1
1,PRODIMP,SOME_FIN_PROD,REVSUP,40,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,4,MEDIUM,HIGH,3,VERTICAL,AVAI,0,EOL,BATCH,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Retire
2,PRODIMP,LARGE_FIN_COMP,INTSUP,46,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,REGIONAL,0,7,HIGH,HIGH,7,HORIZONTAL,NONE,0,EOL,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
3,PRODIMP,SOME_FIN_PROD,INTSUP,34,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,INTERNATIONAL,0,10,HIGH,HIGH,3,MIXED,BOTH,1,AEOL,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retain
4,NONCRI,LARGE_FIN_COMP,REVSUP,34,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,INTERNATIONAL,1,13,LOW,LOW,3,MIXED,PERF,0,AEOL,DESKTOP,EXTERNAL,PREDICTABLE,1,1,0,1,1,1,1,1,Develop
5,PRODIMP,LARGE_FIN_COMP,REVSUP,37,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,REGIONAL,0,16,LOW,HIGH,5,MIXED,NONE,0,EUMN,BATCH,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
6,MISCRI,LARGE_FIN_COMP,INTSUP,37,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,REGIONAL,0,19,HIGH,LOW,7,VERTICAL,BOTH,1,EMAN,BATCH,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
7,MISCRI,LARGE_FIN_COMP,REVSUP,31,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,LOCAL,0,22,LOW,HIGH,7,MIXED,NONE,1,EMAN,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Develop
8,BUSICRI,SOME_FIN_PROD,REVGEN,28,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,LOCAL,0,25,HIGH,MEDIUM,4,VERTICAL,BOTH,1,EMAN,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
9,MISCRI,SOME_FIN_PROD,RISKSUP,10,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,INTERNATIONAL,0,28,LOW,LOW,5,MIXED,BOTH,1,NEW,BATCH,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
10,NONCRI,SOME_PROD,REVSUP,43,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,INTERNATIONAL,0,31,MEDIUM,MEDIUM,4,MIXED,AVAI,1,NEW,BATCH,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
11,BUSIIMP,SOME_FIN_PROD,REVSUP,7,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,REGIONAL,0,34,MEDIUM,LOW,3,VERTICAL,BOTH,1,EMAN,BATCH,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
12,MISCRI,SOME_FIN_PROD,REVGEN,46,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,REGIONAL,0,37,LOW,HIGH,4,HORIZONTAL,BOTH,1,NEW,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
13,PRODIMP,SOME_FIN_PROD,INTSUP,10,APPROVED_PUBLIC_DATACENTER,TE,SOA,LOCAL,0,40,LOW,LOW,3,VERTICAL,AVAI,0,NEW,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
14,MISCRI,SOME_PROD,INTSUP,52,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,NATIONAL,0,43,LOW,MEDIUM,7,MIXED,BOTH,0,NEW,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,0,0,1,1,Retain
